period,gross_add,gross_add_revenue
2015-12-27,48.0,6055.7199999999975
2016-01-03,960.0,101760.85000000002
2016-01-10,943.0,98930.51000000004
2016-01-17,815.0,83757.1
2016-01-24,894.0,100049.23
2016-01-31,899.0,96014.07
2016-02-07,901.0,93802.86000000004
2016-02-14,769.0,76431.43000000002
2016-02-21,973.0,110472.37
2016-02-28,1065.0,108179.80000000006
2016-03-06,950.0,96740.81000000004
2016-03-13,928.0,94415.91
2016-03-20,830.0,91190.35000000003
2016-03-27,994.0,108118.08000000006
2016-04-03,965.0,99126.78
2016-04-10,900.0,96251.69000000002
2016-04-17,896.0,96846.02000000002
2016-04-24,1017.0,113551.27000000002
2016-05-01,1053.0,110141.62
2016-05-08,1054.0,104964.91
2016-05-15,1009.0,106481.91
2016-05-22,1069.0,112957.45
2016-05-29,865.0,91154.38000000002
2016-06-05,949.0,105508.99000000002
2016-06-12,872.0,93204.32000000004
2016-06-19,847.0,90346.90000000002
2016-06-26,986.0,105946.21
2016-07-03,764.0,77011.94
2016-07-10,877.0,89593.56999999998
2016-07-17,880.0,93889.14
2016-07-24,904.0,101108.62999999998
2016-07-31,946.0,104058.24999999994
2016-08-07,886.0,97467.4
2016-08-14,865.0,89047.85999999999
2016-08-21,908.0,97724.34999999996
2016-08-28,1003.0,115886.3799999999
2016-09-04,714.0,75603.20999999999
2016-09-11,847.0,89454.29999999997
2016-09-18,956.0,99260.28999999998
2016-09-25,979.0,106297.77999999996
2016-10-02,905.0,92656.01999999996
2016-10-09,842.0,84103.44000000005
2016-10-16,867.0,96719.18999999996
2016-10-23,805.0,92374.71000000004
2016-10-30,944.0,106840.91999999995
2016-11-06,862.0,97644.48
2016-11-13,863.0,94981.24999999994
2016-11-20,607.0,65062.67999999999
2016-11-27,939.0,101716.91999999998
2016-12-04,861.0,86308.95999999999
2016-12-11,857.0,95144.30999999995
2016-12-18,838.0,91960.28
2016-12-25,581.0,70421.47000000003
2017-01-01,724.0,82738.41000000003
2017-01-08,861.0,101155.02999999996
2017-01-15,783.0,89239.89999999994
2017-01-22,969.0,113376.99999999994
2017-01-29,1071.0,129386.45999999985
2017-02-05,721.0,80694.08999999997
2017-02-12,887.0,101871.51999999996
2017-02-19,799.0,96547.94999999997
2017-02-26,1034.0,131959.42999999988
2017-03-05,1003.0,118635.71999999988
2017-03-12,646.0,78506.35999999996
2017-03-19,939.0,113199.27999999993
2017-03-26,948.0,122466.25999999988
2017-04-02,925.0,113555.69999999988
2017-04-09,756.0,91286.15999999996
2017-04-16,778.0,93444.05
2017-04-23,1050.0,135315.6099999998
2017-04-30,996.0,123976.06999999985
2017-05-07,955.0,113713.60999999988
2017-05-14,903.0,113630.4199999999
2017-05-21,961.0,118828.01999999989
2017-05-28,689.0,89524.24999999994
2017-06-04,934.0,110928.43999999996
2017-06-11,905.0,107193.31999999996
2017-06-18,920.0,113150.70999999992
2017-06-25,952.0,115435.83999999994
2017-07-02,669.0,79676.96999999999
2017-07-09,837.0,97885.29
2017-07-16,877.0,104289.52
2017-07-23,965.0,114294.80999999994
2017-07-30,916.0,108303.70999999992
2017-08-06,828.0,100130.06999999996
2017-08-13,869.0,105646.63999999994
2017-08-20,925.0,111263.40999999996
2017-08-27,1011.0,114064.26999999992
2017-09-03,734.0,86170.12999999995
2017-09-10,938.0,111601.06999999992
2017-09-17,915.0,130720.12999999998
2017-09-24,936.0,114594.79999999992
2017-10-01,966.0,113568.49999999993
2017-10-08,893.0,106867.95999999996
2017-10-15,898.0,107012.03999999996
2017-10-22,902.0,110949.07999999994
2017-10-29,940.0,108222.13999999993
2017-11-05,856.0,92269.17999999996
2017-11-12,947.0,104819.49999999996
2017-11-19,661.0,73210.96
2017-11-26,971.0,112816.89999999994
2017-12-03,980.0,108596.49999999996
2017-12-10,883.0,102794.57999999996
2017-12-17,886.0,100407.30999999998
2017-12-24,658.0,75787.70999999999
2017-12-31,505.0,57817.93000000001
2018-01-07,1061.0,122397.55999999994
2018-01-14,818.0,94070.79999999996
2018-01-21,1004.0,114256.19999999994
2018-01-28,965.0,117389.52999999993
2018-02-04,909.0,101974.40999999996
2018-02-11,883.0,102982.13
2018-02-18,771.0,96195.87999999996
2018-02-25,952.0,117870.25999999994
2018-03-04,794.0,89800.73999999998
2018-03-11,879.0,103558.75
2018-03-18,918.0,111116.55
2018-03-25,1040.0,121285.23999999998
2018-04-01,889.0,109871.65999999996
2018-04-08,930.0,110542.83999999997
2018-04-15,882.0,109657.48
2018-04-22,990.0,119169.66999999998
2018-04-29,954.0,118082.05999999994
2018-05-06,961.0,106782.23999999996
2018-05-13,962.0,109425.24999999996
2018-05-20,965.0,117014.44999999994
2018-05-27,738.0,89654.63999999998
2018-06-03,901.0,107145.86000000004
2018-06-10,961.0,108366.52000000003
2018-06-17,894.0,107176.05000000003
2018-06-24,979.0,114857.20000000006
2018-07-01,635.0,74961.94000000005
2018-07-08,855.0,102339.30000000002
2018-07-15,912.0,109160.50000000006
2018-07-22,859.0,109706.16000000006
2018-07-29,814.0,102747.31000000006
2018-08-05,787.0,98622.86000000004
2018-08-12,749.0,93111.73
2018-08-19,807.0,102383.32000000008
2018-08-26,814.0,105827.58
2018-09-02,718.0,92161.53000000006
2018-09-09,818.0,110711.49000000006
2018-09-16,1007.0,128826.20000000006
2018-09-23,823.0,108588.15000000002
2018-09-30,822.0,106764.03000000006
2018-10-07,865.0,110514.75000000006
2018-10-14,834.0,107555.92000000006
2018-10-21,926.0,123938.76000000008
2018-10-28,897.0,117180.75000000006
2018-11-04,940.0,116526.10000000006
2018-11-11,801.0,104901.99000000002
2018-11-18,498.0,62585.97000000001
2018-11-25,934.0,118957.40000000008
2018-12-02,818.0,110199.21000000004
2018-12-09,890.0,118508.25000000006
2018-12-16,834.0,110500.69000000006
2018-12-23,558.0,79860.13000000003
2018-12-30,562.0,77139.41000000003
2019-01-06,903.0,109899.90000000004
2019-01-13,847.0,111381.70000000004
2019-01-20,750.0,98183.26000000004
2019-01-27,843.0,116358.66000000008
2019-02-03,884.0,113589.62000000008
2019-02-10,792.0,101880.72000000006
2019-02-17,694.0,92902.45000000004
2019-02-24,938.0,130645.77999999988
2019-03-03,823.0,101763.04999999996
2019-03-10,933.0,121207.65999999984
2019-03-17,906.0,124399.49999999984
2019-03-24,971.0,133138.36999999985
2019-03-31,979.0,126383.45999999989
2019-04-07,907.0,116858.56999999992
2019-04-14,846.0,109202.62999999989
2019-04-21,853.0,113832.15999999995
2019-04-28,979.0,125396.32999999989
2019-05-05,926.0,120184.0699999999
2019-05-12,862.0,107411.74999999994
2019-05-19,838.0,116878.75999999992
2019-05-26,793.0,107621.76999999989
2019-06-02,895.0,117659.0699999999
2019-06-09,818.0,118416.4899999999
2019-06-16,881.0,113838.51999999989
2019-06-23,973.0,127743.30999999988
2019-06-30,628.0,86209.29999999996
2019-07-07,856.0,119429.1899999999
2019-07-14,802.0,101571.18999999996
2019-07-21,791.0,110156.57999999993
2019-07-28,780.0,112235.83999999992
2019-08-04,867.0,113464.3199999999
2019-08-11,804.0,109984.57999999996
2019-08-18,756.0,105162.97999999992
2019-08-25,940.0,129073.57999999993
2019-09-01,206.0,28374.14000000001
2019-09-08,1263.0,166712.96999999988
2019-09-15,869.0,115197.88999999993
2019-09-22,919.0,135508.78999999995
2019-09-29,972.0,133334.22999999995
2019-10-06,815.0,111055.94999999997
2019-10-13,696.0,101120.46999999994
2019-10-20,781.0,106613.71999999994
2019-10-27,873.0,121021.78999999994
2019-11-03,820.0,113578.48999999995
2019-11-10,798.0,107725.19999999994
2019-11-17,833.0,109482.26999999996
2019-11-24,548.0,84118.10999999996
2019-12-01,852.0,116872.66999999994
2019-12-08,856.0,120359.67999999992
2019-12-15,733.0,106987.54999999994
2019-12-22,511.0,68046.02999999997
2019-12-29,586.0,88406.22999999994
2020-01-05,865.0,118381.42999999992
2020-01-12,790.0,111764.02999999996
2020-01-19,649.0,92229.17999999998
2020-01-26,909.0,133371.00999999995
2020-02-02,907.0,136992.01999999993
2020-02-09,778.0,110356.05
2020-02-16,713.0,98761.88999999996
2020-02-23,889.0,132987.94999999995
2020-03-01,830.0,117553.02
2020-03-08,733.0,108945.01
2020-03-15,629.0,79290.34999999998
2020-03-22,433.0,65909.79000000001
2020-03-29,441.0,67595.0
2020-04-05,317.0,46622.05
2020-04-12,283.0,40197.68
2020-04-19,399.0,53953.98
2020-04-26,410.0,62917.01999999999
2020-05-03,524.0,77273.70999999998
2020-05-10,523.0,73619.75999999997
2020-05-17,627.0,92532.07999999996
2020-05-24,545.0,78811.95999999998
2020-05-31,673.0,98250.36
2020-06-07,746.0,107613.02999999996
2020-06-14,1346.0,205090.45
2020-06-21,1690.0,255112.97999999984
2020-06-28,967.0,142791.77999999994
2020-07-05,1213.0,180229.12
2020-07-12,1105.0,165859.46000000008
2020-07-19,978.0,141531.66999999995
2020-07-26,710.0,109846.36
2020-08-02,877.0,125942.16
2020-08-09,848.0,119731.43
2020-08-16,811.0,116538.47
2020-08-23,1008.0,143718.75000000006
2020-08-30,894.0,134650.08
2020-09-06,725.0,104001.61999999997
2020-09-13,850.0,122718.60999999994
2020-09-20,922.0,136675.88999999998
2020-09-27,955.0,140368.58000000002
2020-10-04,905.0,125702.43999999994
2020-10-11,847.0,122766.79
2020-10-18,835.0,117837.56
2020-10-25,843.0,118337.65999999995
2020-11-01,766.0,108129.87
2020-11-08,796.0,112740.64
2020-11-15,757.0,110150.78
2020-11-22,561.0,77888.84
2020-11-29,801.0,112212.22
2020-12-06,731.0,99520.23999999996
2020-12-13,639.0,87906.60999999997
2020-12-20,564.0,78999.75000000001
2020-12-27,583.0,84002.88999999997
2021-01-03,731.0,102666.88
2021-01-10,761.0,103330.15
2021-01-17,664.0,96460.99999999996
2021-01-24,863.0,123077.55999999994
2021-01-31,620.0,85927.51999999996
2021-02-07,826.0,112616.81999999998
2021-02-14,665.0,99313.14999999998
2021-02-21,1002.0,143013.29999999993
2021-02-28,917.0,121802.19999999998
2021-03-07,856.0,121021.03999999998
2021-03-14,875.0,125020.14999999994
2021-03-21,894.0,127572.64
2021-04-18,784.0,99745.98999999998
2021-06-20,884.0,118928.41999999995
2021-06-06,865.0,118019.05999999998
2021-08-15,708.0,97705.86999999998
2021-09-05,617.0,82289.83999999998
2021-05-30,684.0,96496.81999999998
2021-07-11,757.0,106673.65999999997
2021-05-09,866.0,113367.58999999997
2021-09-19,937.0,133511.53
2021-08-08,768.0,105724.11999999997
2021-09-12,1038.0,143891.76999999996
2021-06-27,751.0,107331.68999999999
2021-08-22,757.0,107285.45999999998
2021-05-16,779.0,105185.68000000001
2021-06-13,889.0,123330.62999999998
2021-07-25,834.0,112455.89
2021-04-11,872.0,120794.84999999998
2021-05-23,926.0,133053.34
2021-05-02,977.0,138364.68999999994
2021-08-29,762.0,105769.21999999997
2021-07-18,742.0,97782.96000000002
2021-04-25,884.0,126150.62999999999
2021-07-04,642.0,90542.51000000001
2021-03-28,794.0,116590.74999999999
2021-04-04,831.0,112511.24999999997
2021-08-01,808.0,100296.56999999999
